,시도별,월별,사고건수(건),사망자수(명),부상자수(명)
205,경남,10월,1041,31,1484
206,경남,11월,986,22,1344
207,경남,12월,856,18,1136
209,제주,1월,332,3,511
210,제주,2월,301,2,421
211,제주,3월,323,3,466
212,제주,4월,338,3,515
213,제주,5월,356,8,544
214,제주,6월,351,4,542
215,제주,7월,352,8,569
216,제주,8월,373,4,570
217,제주,9월,326,7,465
218,제주,10월,366,4,554
219,제주,11월,325,4,436
220,제주,12월,296,3,428
